English,Shakespearean
I've only done my duty .,I have done my duty .
Is he married ?,Is he married ?
May the gods destroy you !,The gods confound thee !
Do you maintain the same story ?,Dost thou hold there still ?
"Do you want me to lie , madam ?","Should I lie , madam ?"
"Go , get out !","Go , get thee hence ."
Even if you were as handsome as I beg your highness' pardon .,I crave your highness' pardon .
Is he really married ?,He is married ?
Please don't be offended that I don't want to offend you any more .,Take no offense that I would not offend you .
It's not fair to punish me for something you make me do .,To punish me for what you make me do Seems much unequal .
He's married to Octavia .,He's married to Octavia .
It's too bad that Antony's fault should make you look like a jerk .,"Oh , that his fault should make a knave of thee , That art not what th' art sure of !"
Go away .,Get thee hence .
The merchandise you bring from Rome is too expensive for me .,The merchandise which thou hast brought from Rome Are all too dear for me .
Let it stay in your inventory until it bankrupts you .,Lie they upon thy hand And be undone by 'em !
"Be patient , your highness .","Good your highness , patience ."
"When I have praised Antony , I've disparaged Caesar .","In praising Antony , I have dispraised Caesar ."
"Many times , madam .","Many times , madam ."
I'm being repaid for that now .,I am paid for 't now .
Help me out of here .,Lead me from hence .
"Oh , Iras , Charmian !","O Iras , Charmian !"
It doesn't matter .,"Tis no matter. , Go to the fellow , good Alexas ."
How old is she ?,"Bid him Report the feature of Octavia : her years , Her inclination ."
Don't let him leave out the color of her hair .,Let him not leave out The color of her hair .
Bring me his answers quickly .,Bring me word how tall she is .
Even though half of him is like a,Lead me to my chamber .
"Lord Alexas , sweet Alexas , most anything Alexas , almost the most consummate Alexas , where's the fortuneteller you recommended so highly to the Queen ?","Lord Alexas , sweet Alexas , most anything Alexas , almost most absolute Alexas , where's the soothsayer that you praised so to th' Queen ?"
"Oh , I only wish I knew the name of that husband you said he predicted will have a cheating wife !","Oh that I knew this husband , which , you say , must charge his horns with garlands !"
I don't make fortunes ; I only see them .,"I make not , but foresee ."
Then see a good one for me .,"Pray , then , foresee me one ."
"No , he means you'll use makeup when you're old .","No , you shall paint when you are old ."
May my wrinkles forbid that !,Wrinkles forbid !
Don't joke about his predictions .,Vex not his prescience .
Pay attention .,Be attentive .
Quiet !,Hush !
You will love more than you are loved .,You shall be more beloving than beloved .
"It's proper that we speak first , which is why we sent our proposals ahead of us for your consideration .","Most meet That first we come to words , and therefore have we Our written purposes before us sent , Which , if thou hast considered , let us know If 'twill tie up thy discontented sword And carry back to Sicily much tall youth That else must perish here ."
Why did Cassius conspire against Caesar ?,What was 't That moved pale Cassius to conspire ?
Take your time .,Take your time .
"Pompey , you can not frighten us with your navy .","Thou canst not fear us , Pompey , with thy sails ."
We'll meet you at sea .,We'll speak with thee at sea .
"Yes , on land you do outnumber me .","At land , thou know'st How much we do o'ercount thee ."
Even more since you annexed my father's house and lands .,"At land indeed Thou dost o'ercount me of my father's house , But since the cuckoo builds not for himself , Remain in 't as thou mayst ."
"But since , To get back to the matter at hand , what do you think of our proposal ?","Be pleased to tell us , For this is from the present , how you take The offers we have sent you ."
That's the point .,There's the point .
"Don't let us talk you into anything , but consider carefully the value of our offers .","Which do not be entreated to , but weigh What it is worth embraced ."
You have offered me the lands of Sicily and Sardinia .,"You have made me offer Of Sicily , Sardinia ."
"In return , I must clear the sea of pirates and send tributes of wheat to Rome .","And I must Rid all the sea of pirates , then , to send Measures of wheat to Rome ."
"If I agree to this , we may leave unharmed , with our shields undented .",This 'greed upon To part with unhacked edges and bear back Our targes undinted .
That's our offer .,That's our offer .
You should know that when I came here I was prepared to accept your offer .,"Know then I came before you here a man prepared To take this offer , but Mark Antony Put me to some impatience ."
Let me shake your hand .,Let me have your hand .
I didn't think I would see you here .,"I did not think , sir , to have met you here ."
The East is very seductive .,"The beds i' th' East are soft , and thanks to you , That called me timelier than my purpose hither , For I have gained by 't ."
"Well , I can not tell how my difficult life has weathered my face , but I will never let those difficulties subdue my courage .","Well , I know not What counts harsh Fortune casts upon my face , But in my bosom shall she never come To make my heart her vassal ."
It's good we had this meeting .,Well met here .
"I hope it works out for the best , Lepidus .","I hope so , Lepidus ."
So we are in agreement .,Thus we are agreed .
That's the next thing on the agenda .,That's the next to do .
We'll have celebration feasts for each other before we go our separate ways .,"We'll feast each other ere we part , and let's Draw lots who shall begin ."
"I'll give the first one , Pompey .","That will I , Pompey ."
"No , Antony .","No , Antony , take the lot ."
"Whether your banquet is first or last , your Egyptian cooking will make it the best .","But , first or last , Your fine Egyptian cookery shall have The fame ."
I heard that Julius Caesar got fat from all the feasting there .,I have heard that Julius Caesar Grew fat with feasting there .
You've heard a lot .,You have heard much .
"I mean well , sir .","I have fair meanings , sir ."
I'm sure you do .,And fair words to them .
I've heard a lot more .,Then so much have I heard .
"I heard that Apollodorus carried , What did he carry , please ?","And I have heard Apollodorus carried , What , I pray you ?"
"How are you , soldier ?","How far'st thou , soldier ?"
"I'm well , and probably will be for a while , as I hear that four feasts are being prepared .","Well , And well am like to do , for I perceive , Four feasts are toward ."
Let me shake your hand .,Let me shake thy hand .
I've never been your enemy .,I never hated thee .
I've seen you fight and envied your skill .,I have seen thee fight When I have envied thy behavior .
"Sir , I wouldn't say I was your friend , but I've praised you when you deserved ten times more praise than I gave .","Sir , I never loved you much , but I ha' praised ye When you have well deserved ten times as much As I have said you did ."
Enjoy your frankness ; it suits you .,Enjoy thy plainness .
I invite you all aboard my ship .,"It nothing ill becomes thee. , Aboard my galley I invite you all ."
"After you , my lords ?","Will you lead , lords ?"
"Show us the way , sir .","Show 's the way , sir ."
Come with me .,Come .
I think it was at sea .,"At sea , I think ."
"That it was , sir .","We have , sir ."
You've done well at sea .,You have done well by water .
And you've done well on land .,And you by land .
"I'll flatter anyone who flatters me , though what I've accomplished on land can not be denied .","I will praise any man that will praise me , though it can not be denied what I have done by land ."
Neither can my accomplishments at sea .,Nor what I have done by water .
"Yes , for your own safety , you should deny one thing : you have been a great thief at sea .","Yes , something you can deny for your own safety : you have been a great thief by sea ."
As you were on land .,And you by land .
That's the one part of my service on land I do deny .,There I deny my land service .
"But let's shake hands , Menas .","But give me your hand , Menas ."
"If our eyes were policemen , they might capture two thieves at once while we're embracing .","If our eyes had authority , here they might take two thieves kissing ."
"Men's faces are truthful , whatever their hands do .","All men's faces are true , whatsome'er their hands are ."
But no beautiful woman has an honest face .,But there is never a fair woman has a true face .
That's no lie .,No slander .
They steal hearts .,They steal hearts .
We came here to fight against you .,We came hither to fight with you .
"For my part , I'm sorry this battle turned into a drinking match .","For my part , I am sorry it is turned to a drinking ."
Today Pompey laughs away his fortune .,Pompey doth this day laugh away his fortune .
"If that's true , he won't get it back by crying .","If he do , sure he can not weep 't back again ."
"That's the truth , sir .","You've said , sir ."
We didn't expect Mark Antony to be here .,We looked not for Mark Antony here .
Is he married to Cleopatra ?,"Pray you , is he married to Cleopatra ?"
Caesar's sister is named Octavia .,Caesar's sister is called Octavia .
"That's true , sir .","True , sir ."
She was previously Caius Marcellus' wife .,She was the wife of Caius Marcellus .
But she is now Mark Antony's wife .,But she is now the wife of Marcus Antonius .
"Excuse me , sir ?","Pray ye , sir ?"
It's true .,Tis true .
Then Caesar and he will always be united .,Then is Caesar and he forever knit together .
"If I were to make a prediction regarding this union , I wouldn't say that .","If I were bound to divine of this unity , I would not prophesy so ."
I think the marriage was made more for political reasons than for love .,I think the policy of that purpose made more in the marriage than the love of the parties .
I think so too .,I think so too .
But you'll see that the very thing that joins them will be the thing that separates them .,But you shall find the band that seems to tie their friendship together will be the very strangler of their amity .
"Octavia has a pious , chaste , meek disposition .","Octavia is of a holy , cold , and still conversation ."
Doesn't everyone want a wife like that ?,Who would not have his wife so ?
"Not someone who doesn't share that disposition , meaning Mark Antony .","Not he that himself is not so , which is Mark Antony ."
He'll go back to his Egyptian dish .,He will to his Egyptian dish again .
"Then Octavia's complaints will rouse Caesar , and as I said before , the thing that brought them together will part them .","Then shall the sighs of Octavia blow the fire up in Caesar , and , as I said before , that which is the strength of their amity shall prove the immediate author of their variance ."
Antony will go where his passion is .,Antony will use his affection where it is .
He only married out of political necessity .,He married but his occasion here .
Then that's the way it may turn out .,And thus it may be .
"Come on , sir , will you come aboard ?","Come , sir , will you aboard ?"
I want to drink your health .,I have a health for you .
"I'll join you , sir .","I shall take it , sir ."
We did a lot of drinking in Egypt .,We have used our throats in Egypt .
Let's go .,"Come , let's away ."
"Here's where they'll end up , on the floor .","Here they'll be , man ."
Some of them are leaning already .,Some o' their plants are ill-rooted already .
Lepidus is red in the face .,Lepidus is high-colored .
They made him drink the leftover wine usually given to the poor .,They have made him drink alms-drink .
I'd rather carry a reed that obviously can't protect me than a sword I can not lift .,I had as lief have a reed that will do me no service as a partisan I could not heave .
"This is how they do it , sir : they measure the depth of the Nile , according to certain marks made on the walls of the Pyramid .","Thus do they , sir : they take the flow o' th' Nile By certain scales i' th' Pyramid ."
They know by those measurements if there will be famine or plenty .,"They know By th' height , the lowness , or the mean , if dearth Or foison follow ."
"The higher the Nile flows , the better the harvest .",The higher Nilus swells The more it promises .
The harvest comes shortly after that .,"As it ebbs , the seedsman Upon the slime and ooze scatters his grain , And shortly comes to harvest ."
Do you have unusual snakes there ?,You've strange serpents there ?
"Yes , Lepidus .","Ay , Lepidus ."
"The Egyptian snake is born when the sun shines on the Nile mud , just like the crocodile .",Your serpent of Egypt is bred now of your mud by the operation of your sun .
"I don't feel so well , but I won't stop .","I am not so well as I should be , but I'll ne'er out ."
Not until you pass out .,Not till you have slept .
I'm afraid you'll keep going until then .,I fear me you'll be in till then .
I've heard that the pyramids build by the Ptolemies are splendid .,"Nay , certainly , I have heard the Ptolemies' pyramises are very goodly things ."
Without doubt I've heard that .,Without contradiction I have heard that .
What does a crocodile look like ?,What manner o' thing is your crocodile ?
"Sir , it's shaped like itself and is as wide as it has width .","It is shaped , sir , like itself , and it is as broad as it hath breadth ."
It is only as high as it is and moves with its own legs .,"It is just so high as it is , and moves with its own organs ."
Its own color .,Of it own color too .
It's a strange snake .,Tis a strange serpent .
It is that .,Tis so .
And its tears are wet .,And the tears of it are wet .
What is it ?,The matter ?
I've always had great respect for your destiny .,I have ever held my cap off to thy fortunes .
You've served me faithfully .,Thou hast served me with much faith .
What else can I say ?,"What's else to say ? , These quicksands , Lepidus , Keep off them , for you sink ."
What are you saying ?,What sayst thou ?
Would you like to be king of the entire world ?,Wilt thou be lord of the whole world ?
Now I've said it twice .,That's twice .
How could that happen ?,How should that be ?
Just listen to him .,"Nay , hear him ."
Be kind now and tell me some excellent fortune .,"Good now , some excellent fortune !"
Tell me that I'll marry three kings before noon and be widowed by all of them .,Let me be married to three kings in a forenoon and widow them all .
"Oh , excellent !","Oh , excellent !"
Then my children will probably be illegitimate .,Then belike my children shall have no names .
"Tell me , please : how many boys and girls will I have ?","Prithee , how many boys and wenches must I have ?"
"If every time you wished for a child you could have had one , you would have a million children .","If every of your wishes had a womb , And fertile every wish , a million ."
You seem to think no one outside of your bedroom knows what you wish .,You think none but your sheets are privy to your wishes .
We'll all want our fortune told .,We'll know all our fortunes .
"My fortune , like that of many of us tonight , is to go drunk to bed .","Mine , and most of our fortunes tonight , shall be , drunk to bed ."
Are you drunk ?,Hast thou drunk well ?
"No , Pompey , I haven't had anything to drink .","No , Pompey , I have kept me from the cup ."
Tell me how .,Show me which way .
The three who share the known world are aboard your boat .,"These three world-sharers , these competitors , Are in thy vessel ."
Everything that belongs to them is yours .,All there is thine .
"Oh , you should have done it without telling me !","Ah , this thou shouldst have done And not have spoke on 't !"
For you to do it would be good service .,"In me 'tis villainy , In thee 't had been good service ."
"You should know that to me , profit isn't more important than honor , but the other way around .","Thou must know , 'Tis not my profit that does lead mine honor ; Mine honor , it ."
Regret that your mouth betrayed your actions .,Repent that e'er thy tongue Hath so betrayed thine act .
But now I must condemn it .,"Being done unknown , I should have found it afterwards well done , But must condemn it now ."
Give it up and go drink .,"Desist , and drink ."
This toast is for Lepidus !,This health to Lepidus !
"Here's to you , Menas .","Here's to thee , Menas !"
"I accept with thanks , Enobarbus .","Enobarbus , welcome ."
"There goes a strong fellow , Menas .","There's a strong fellow , Menas ."
Why do you say that ?,Why ?
He carries a third of the world .,"He bears The third part of the world , man ."
Can't you see that ?,Seest not ?
Then a third of the world is drunk .,"The third part , then , is drunk ."
Drink up .,Drink thou .
"All right , then .",Come .
This hasn't reached the level of an Egyptian feast yet .,This is not yet an Alexandrian feast .
It's getting there .,It ripens towards it .
Clink your cups together in a toast !,"Strike the vessels , ho !"
Here's to Caesar .,Here's to Caesar .
I could do without another toast .,I could well forbear 't .
Live in the moment .,Be a child o' th' time .
But I would rather abstain from everything for four days than drink so much in one .,But I had rather fast from all four days Than drink so much in one .
"Let's have one , good soldier .","Let's ha 't , good soldier ."
"Come , let's join our hands until the overpowering wine makes us soft and forgetful .","Come , let's all take hands Till that the conquering wine hath steeped our sense In soft and delicate Lethe ."
Everyone join hands .,All take hands .
How can you top that ?,What needs more words ?
"Good night , Pompey .",Good night .
"Yes , we will .","And shall , sir ."
Let's shake on it .,Give 's your hand .
We're friends !,We are friends .
"Come , this way to the rowboat .","Come , down into the boat ."
Be careful not to fall in .,Take heed you fall not .
"Menas , I'm not going back on shore .","Menas , I'll not on shore ."
"No , come to my cabin .","No , to my cabin ."
What do you say ?,What !
There's my hat !,There's my cap .
Hooray !,Hoo !
"Come on , noble captain .","Noble captain , come ."
"Now I've paid you back , Parthia , and gotten revenge for Marcus Crassus' death .","Now , darting Parthia , art thou struck , and now Pleased fortune does of Marcus Crassus' death Make me revenger ."
"You must understand , Silius , that it's better to leave something undone than achieve too much fame in your superior's absence .","For learn this , Silius : Better to leave undone than by our deed Acquire too high a fame when him we serve's away ."
Caesar and Antony have always achieved more by delegating authority to their officers than by leading their troops in person .,Caesar and Antony have ever won More in their officer than person .
A man who achieves more in war than his captain does becomes his captain's rival .,"Who does i' th' wars more than his captain can Becomes his captain's captain ; and ambition , The soldier's virtue , rather makes choice of loss Than gain which darkens him ."
"I could do more to help Antony , but to do so would insult him .","I could do more to do Antonius good , But 'twould offend him , and in his offense Should my performance perish ."
"A soldier is just a tool , like his sword , unless he has your qualities , Ventidius .","Thou hast , Ventidius , that Without the which a soldier and his sword Grants scarce distinction ."
Are you going to write Antony about this ?,Thou wilt write to Antony ?
"I'll write how , under his flag and with his well-paid troops , we have beaten the formerly unvanquished Parthia .","I'll humbly signify what in his name , That magical word of war , we have effected : How with his banners and his well-paid ranks The ne'er-yet-beaten horse of Parthia We have jaded out o' th' field ."
Where's Antony now ?,Where is he now ?
Did the brothers-in-law leave ?,"What , are the brothers parted ?"
"They finished their business with Pompey , and Pompey has left .",They have dispatched with Pompey ; he is gone .
Octavia weeps at the thought of leaving Rome .,Octavia weeps To part from Rome .
Caesar is in a sober mood .,"Caesar is sad , and Lepidus , Since Pompey's feast , as Menas says , is troubled With the greensickness ."
He's a stylish man .,A very fine one .
And how he loves Caesar !,"Oh , how he loves Caesar !"
"Yes , but how he adores Mark Antony !","Nay , but how dearly he adores Mark Antony !"
Caesar ?,Caesar ?
Then what's Antony ?,What's Antony ?
A god of a god ?,The god of Jupiter .
Are you talking about Caesar ?,Spake you of Caesar ?
He's without equal !,"How , the nonpareil !"
"Oh , Antony !","O Antony , O thou Arabian bird !"
"Oh , you If you want to praise Caesar , just say his name , that's all the praise that's necessary .","Would you praise Caesar , say ""Caesar."" Go no further ."
He certainly flattered them both with extravagant compliments .,"Indeed , he plied them both with excellent praises ."
"He loves Caesar best , but he also loves Antony .",But he loves Caesar best ; yet he loves Antony .
Oh !,Hoo !
"Hearts can not think it , tongues can not speak it , meas-urements can not calculate it , scribes can not write it , bards can not sing it , and poets can not make verses about it .","Hearts , tongues , figures , scribes , bards , poets , can not Think , speak , cast , write , sing , number , hoo ! , His love to Antony ."
He loves them both .,Both he loves .
"They are his dung , and he their beetle .","They are his shards , and he"
"So , there's the signal to ride .","So , This is to horse ."
"Good-bye , noble Agrippa .","Adieu , noble Agrippa ."
"Good luck , worthy soldier , and good-bye .","Good fortune , worthy soldier , and farewell ."
"You can't go any further with us , sir .","No further , sir ."
"If you and I don't value her equally , it would be better for us to work out our differences without her .","For better might we Have loved without this mean , if on both parts This be not cherished ."
Don't insult me with your distrust .,Make me not offended In your distrust .
I mean what I say .,I have said .
"You won't find any cause for anxiety , even if you look for one .","You shall not find , Though you be therein curious , the least cause For what you seem to fear ."
"So , may the gods protect you and change the hearts of the Romans so that they turn and give you their support .",So the gods keep you And make the hearts of Romans serve your ends .
We'll leave you here .,We will here part .
"Good-bye , my dearest sister , good-bye .","Farewell , my dearest sister , fare thee well ."
I hope you have good weather to set your mind at ease .,The elements be kind to thee and make Thy spirits all of comfort !
Farewell .,Fare thee well .
My noble brother !,My noble brother !
Her eyes are like April : full of showers .,"The April's in her eyes ; it is love's spring , And these the showers to bring it on ."
"What is it , Octavia ?","What , Octavia ?"
I'll tell you privately .,I'll tell you in your ear .
"See , now I have you .","Look , here I have you ."
And thus I let you go and give you to the gods .,Thus I let you go And give you to the gods .
Good-bye .,Adieu .
Be happy .,Be happy .
"Farewell , farewell .","Farewell , farewell ."
Farewell .,Farewell .
"Like the Oh stop it , you lusty bed-hopper .",E'en as the o'erflowing Nilus presageth famine .
You can't see the future .,"Go , you wild bedfellow , you can not soothsay ."
"Well , if a moist palm isn't a clear sign of promiscuity , then I can't scratch my own ear .","Nay , if an oily palm be not a fruitful prognostication , I can not scratch mine ear. , Prithee , tell her but a workaday fortune ."
Your fortunes are the same .,Your fortunes are alike .
But how ?,"But how , but how ?"
Give me details .,Give me particulars .
I've said what I have to say .,I have said .
Isn't my fortune just a little better than hers ?,Am I not an inch of fortune better than she ?
"Well , if you could have just an inch of better fortune than me , where would you like the improvement ?","Well , if you were but an inch of fortune better than I , where would you choose it ?"
Not in my husband's nose .,Not in my husband's nose .
May heaven save us from indecent thoughts !,Our worser thoughts heavens mend .
Alexas !,Alexas !
"If it's sad to see a handsome man with a cheating wife , it's a tragedy to see an ugly thug with a wife who's faithful .","For , as it is a heartbreaking to see a handsome man loose-wived , so it is a deadly sorrow to behold a foul knave uncuckolded ."
"Therefore , dear Isis , do the right thing and give him the fortune he deserves .","Therefore , dear Isis , keep decorum , and fortune him accordingly ."
Where is that messenger ?,Where is the fellow ?
He's afraid to come in .,Half afeard to come .
"Oh , come on. , Come here , sir .","Go to , go to. , Come hither , sir ."
"Gracious Queen , even Herod of Judea wouldn't dare look at you unless you were in a good mood .","Good majesty , Herod of Jewry dare not look upon you But when you are well pleased ."
I'll have Herod's head chopped off !,That Herod's head I'll have !
Most formidable Queen !,Most gracious majesty !
Did you see Octavia ?,Didst thou behold Octavia ?
"Yes , revered Queen .","Ay , dread Queen ."
Where ?,Where ?
"In Rome , Madam .","Madam , in Rome ."
I saw her face as she walked with her brother and Mark Antony .,"I looked her in the face , and saw her led Between her brother and Mark Antony ."
Is she as tall as I am ?,Is she as tall as me ?
"She is not , madam .","She is not , madam ."
Did you hear her speak ?,Didst hear her speak ?
Is her voice pitched high or low ?,Is she shrill-tongued or low ?
"Madam , I heard her speak .","Madam , I heard her speak ."
She has a low-pitched voice .,She is low-voiced .
That's not in her favor .,That's not so good .
He can't like her very long .,He can not like her long .
Like her ?,Like her ?
"Oh , Isis , that's impossible .","O Isis , 'tis impossible ."
"You're right , Charmian .","I think so , Charmian ."
She creeps along .,She creeps .
"She has a body , not a life .","She shows a body rather than a life , A statue than a breather ."
Is this true ?,Is this certain ?
"If not , then I have no powers of observation .",Or I have no observance .
There aren't three people in all of Egypt who could do better .,Three in Egypt Can not make better note .
She doesn't have anything going for her so far .,There's nothing in her yet .
This messenger is wise .,The fellow has good judgment .
Very wise .,Excellent .
"Do you hear that , Charmian ?","Charmian , hark ."
And I think she's at least thirty .,And I do think she's thirty .
Do you remember her face ?,Bear'st thou her face in mind ?
Was it long or round ?,Is 't long or round ?
Round enough to be unattractive .,"Round , even to faultiness ."
Usually that means a person is foolish .,"For the most part , too , they are foolish that are so ."
What color is her hair ?,"Her hair , what color ?"
"Brown , madam , and she wouldn't want her forehead to be any lower .","Brown , madam , and her forehead As low as she would wish it ."
You mustn't hold my earlier outburst against me .,Thou must not take my former sharpness ill .
I'll hire you again to go back to Rome .,I will employ thee back again ; I find thee Most fit for business .
My letters are ready to go .,Go make thee ready ; Our letters are prepared .
He's an admirable man .,A proper man .
He certainly is .,"Indeed , he is so ."
I'm very sorry I was so hard on him .,I repent me much That so I harried him .
"Not a bit , madam .","Nothing , madam ."
Everything may still be all right .,All may be well enough .
"I assure you it is , madam .","I warrant you , madam ."
"Oh , dear husband , don't believe everything you hear , or if you must believe it , don't let it all make you angry .","O my good lord , Believe not all , or , if you must believe , Stomach not all ."
No lady could be more miserable than I if you two disagree .,"A more unhappy lady , If this division chance , ne'er stood between , Praying for both parts ."
"Gentle Octavia , support the one that supports you .","Gentle Octavia , Let your best love draw to that point which seeks Best to preserve it ."
"In the meantime , I'll raise an army that will surpass his .","The meantime , lady , I'll raise the preparation of a war Shall stain your brother ."
"May the god of power make me , the weakest of the weak , your mediator .","The Jove of power make me most weak , most weak , Your reconciler !"
"When you find out who started this disagreement , turn your anger upon them .","When it appears to you where this begins , Turn your displeasure that way , for our faults Can never be so equal that your love Can equally move with them ."
Order supplies for your trip and choose your traveling companions .,Provide your going ; Choose your own company and command what cost Your heart has mind to .
"How goes it , friend Eros ?","How now , friend Eros !"
"Some startling news has just arrived , sir .","There's strange news come , sir ."
"What news , man ?","What , man ?"
Caesar and Lepidus declared war against Pompey .,Caesar and Lepidus have made wars upon Pompey .
That's old news .,This is old .
Who's winning ?,What is the success ?
So the weak third of the triumvirate is imprisoned until death frees him .,"So the poor third is up , till death enlarge his confine ."
"And even if you throw everything you possess to the two of them , they'll battle each other to the death to have it all .","Then , world , thou hast a pair of chaps , no more , And throw between them all the food thou hast , They'll grind the one the other ."
Where's Antony ?,Where's Antony ?
"Another thing , Domitius : Antony wants to see you now .","More , Domitius : My lord desires you presently ."
I should have waited to tell you my news .,My news I might have told hereafter .
But never mind .,"Twill be naught , But let it be ."
Take me to Antony .,Bring me to Antony .
"Come with me , sir .","Come , sir ."
"In Alexandria he condemned Rome , and that's not all .","Contemning Rome , he has done all this and more In Alexandria ."
This is what happened : he and Cleopatra sat on chairs of gold on a silver-covered stage in the marketplace .,"Here's the manner of 't : I' th' marketplace , on a tribunal silvered , Cleopatra and himself in chairs of gold Were publicly enthroned ."
He did this in public ?,This in the public eye ?
"He gave Syria , Cilicia , and Phoenicia to Ptolemy .","She In th' habiliments of the goddess Isis That day appeared , and oft before gave audience , As 'tis reported , so ."
Let's send this news to Rome .,Let Rome be thus informed .
The Roman people are fed up with his arrogance already .,"Who , queasy with his insolence already , Will their good thoughts call from him ."
"The people have heard it already , and they've been told of his accusations .","The people knows it , and have now received His accusations ."
Who does he accuse ?,Who does he accuse ?
"He accuses me of withholding his share of Sextus Pompeius' possessions , which we seized in Sicily .","Caesar , and that , having in Sicily Sextus Pompeius spoiled , we had not rated him His part o' th' isle ."
Then he says I didn't return some ships he loaned me .,"Then does he say he lent me Some shipping , unrestored ."
"Sir , these accusations should be answered .","Sir , this should be answered ."
"It has been done already , and the messenger is on his way .","Tis done already , and the messenger gone ."
I answered that Lepidus had become too brutal and abused his position .,"I have told him , Lepidus was grown too cruel , That he his high authority abused And did deserve his change ."
He'll never agree to that .,He'll never yield to that .
Then we won't agree to his demands .,Nor must not then be yielded to in this .
"Greetings , Caesar , my lord !","Hail , Caesar , and my lord !"
"Greetings , dearest Caesar !","Hail , most dear Caesar !"
"Oh , to think you've been rejected !",That ever I should call thee castaway !
"You've never thought of me like that , and you have no reason to .","You have not called me so , nor have you cause ."
Then why did you travel so quietly ?,Why have you stol'n upon us thus ?
You didn't arrive like Caesar's sister .,You come not Like Caesar's sister .
"Antony's wife should have an army to escort her , with neighing horses to announce her arrival long before she appears .",The wife of Antony Should have an army for an usher and The neighs of horse to tell of her approach Long ere she did appear .
The dust from your attending troops should have risen to heaven .,"Nay , the dust Should have ascended to the roof of heaven , Raised by your populous troops ."
I would have met you by sea and again by land .,"We should have met you By sea and land , supplying every stage With an augmented greeting ."
Mark Antony heard that you were preparing to wage war on him .,"My lord , Mark Antony , Hearing that you prepared for war , acquainted My grieved ear withal , whereon I begged His pardon for return ."
"Which he quickly allowed , given that you're an obstacle to his lust .","Which soon he granted , Being an obstruct 'tween his lust and him ."
Amen .,Amen .
Quiet !,Hush !
Here comes Antony .,Here comes Antony .
Have you seen my lord ?,Saw you my lord ?
"No , lady .","No , lady ."
Wasn't he here ?,Was he not here ?
"No , madam .","No , madam ."
