,input,target
222,"I should have found it after being done unknown, but I must condemn it now.","Being done unknown , I should have found it afterwards well done , But must condemn it now ."
223,Drink and Desist together.,"Desist , and drink ."
224,This health to Lepidus is very important.,This health to Lepidus !
225,"Here's to thee, Menas!","Here's to thee , Menas !"
226,"Thank you, welcome, Enobarbus.","Enobarbus , welcome ."
227,There's a strong fellow named Menas.,"There's a strong fellow , Menas ."
228,Why do you think so?,Why ?
229,The third part of the world is where he is.,"He bears The third part of the world , man ."
230,"Seest not, right?",Seest not ?
231,The third part is very drunk.,"The third part , then , is drunk ."
232,You should drink.,Drink thou .
233,Come and see it.,Come .
234,This isn't an Alexandrian feast yet.,This is not yet an Alexandrian feast .
235,It starts to turn towards it.,It ripens towards it .
236,"The vessels should be struck, ho!","Strike the vessels , ho !"
237,It's here to Caesar.,Here's to Caesar .
238,I can forbear for a moment.,I could well forbear 't .
239,"O' th' time, be a child.",Be a child o' th' time .
240,I drank so much in one day that I had to take a break from all four days.,But I had rather fast from all four days Than drink so much in one .
241,Good soldier. Let's ha 't.,"Let's ha 't , good soldier ."
242,Let's all take hands until the conquering wine has left its mark on our sense.,"Come , let's all take hands Till that the conquering wine hath steeped our sense In soft and delicate Lethe ."
243,All of them are holding hands.,All take hands .
244,What more words do you need?,What needs more words ?
245,Thank you for a good night.,Good night .
246,"And shall be, sir.","And shall , sir ."
247,You should give your hand.,Give 's your hand .
248,We are close friends.,We are friends .
249,Come down into the water.,"Come , down into the boat ."
250,Don't fall if you take heed.,Take heed you fall not .
251,I will not be on the shore.,"Menas , I'll not on shore ."
252,I did not want to go to my cabin.,"No , to my cabin ."
253,What are they talking about?,What !
254,The cap is mine.,There's my cap .
255,"That's right, hoo!",Hoo !
256,"Come, captain, come.","Noble captain , come ."
257,"Now, darting Parthia, art Thou struck, and now Pleased fortune does of Marcus Crassus' death, Make me revenger.","Now , darting Parthia , art thou struck , and now Pleased fortune does of Marcus Crassus' death Make me revenger ."
258,Silius said that it was better to leave undone than it was to serve away.,"For learn this , Silius : Better to leave undone than by our deed Acquire too high a fame when him we serve's away ."
259,Caesar and Antony have won more in their officer than they have in their person.,Caesar and Antony have ever won More in their officer than person .
260,"The soldier's virtue rather makes choice of loss than gain, and who does that more than his captain.","Who does i' th' wars more than his captain can Becomes his captain's captain ; and ambition , The soldier's virtue , rather makes choice of loss Than gain which darkens him ."
261,"Should my performance fail, I could do more to impress him, but it would offend him.","I could do more to do Antonius good , But 'twould offend him , and in his offense Should my performance perish ."
262,"Without the which a soldier and his sword grants a scarce distinction, Thou hast.","Thou hast , Ventidius , that Without the which a soldier and his sword Grants scarce distinction ."
263,Is it possible that you would write to Antony?,Thou wilt write to Antony ?
264,"We have effected what in his name is a magical word of war, how with his banners and his well-paid ranks The ne'er-yet-beaten horse of Parthia.","I'll humbly signify what in his name , That magical word of war , we have effected : How with his banners and his well-paid ranks The ne'er-yet-beaten horse of Parthia We have jaded out o' th' field ."
265,Where is he right now?,Where is he now ?
266,Are the brothers still together?,"What , are the brothers parted ?"
267,He is gone after they dispatched with Pompey.,They have dispatched with Pompey ; he is gone .
268,To part from Rome was a difficult decision for Octavia.,Octavia weeps To part from Rome .
269,"Lepidus is troubled with the greensickness since Pompey's feast, and Caesar is sad.","Caesar is sad , and Lepidus , Since Pompey's feast , as Menas says , is troubled With the greensickness ."
270,A very fine one.,A very fine one .
271,How he adores Caesar.,"Oh , how he loves Caesar !"
272,"He adores Mark Antony, but how much?","Nay , but how dearly he adores Mark Antony !"
273,Are you talking about Caesar?,Caesar ?
274,"Antony, what is he?",What's Antony ?
275,The god of Jupiter is also known as the god of Jupiter.,The god of Jupiter .
276,Do you want to spake you of Caesar?,Spake you of Caesar ?
277,"How, the nonpareil.","How , the nonpareil !"
278,"Antony, you are the Arabian bird!","O Antony , O thou Arabian bird !"
279,"Would you say ""Caesar"" if you could?","Would you praise Caesar , say ""Caesar."" Go no further ."
280,He heaped praise on them with great pleasure.,"Indeed , he plied them both with excellent praises ."
281,He loves Antony but he loves Caesar the best.,But he loves Caesar best ; yet he loves Antony .
282,"That's right, hoo!",Hoo !
283,"He loves Antony and can't think, speak, cast, write, sing, number, hoo!","Hearts , tongues , figures , scribes , bards , poets , can not Think , speak , cast , write , sing , number , hoo ! , His love to Antony ."
284,Both of them love him.,Both he loves .
285,They are the shards of his life.,"They are his shards , and he"
286,This is for the horse.,"So , This is to horse ."
287,Adieu to the noble Agrippa.,"Adieu , noble Agrippa ."
288,"Good fortune, a worthy soldier, and farewell.","Good fortune , worthy soldier , and farewell ."
289,"Sir, no further.","No further , sir ."
290,"If on both parts, this be not cherished, for better might we have loved without this mean.","For better might we Have loved without this mean , if on both parts This be not cherished ."
291,"In your distrust, please make me not be offended.",Make me not offended In your distrust .
292,I have said that before.,I have said .
293,"You will not find, though you are curious, the least cause for what you fear.","You shall not find , Though you be therein curious , the least cause For what you seem to fear ."
294,"Make the hearts of Romans serve your ends, because the gods keep you.",So the gods keep you And make the hearts of Romans serve your ends .
295,We are going to here part of it.,We will here part .
296,"My dearest sister, I wish you all the best.","Farewell , my dearest sister , fare thee well ."
297,The elements should be kind to the spirits and make them all feel comfortable.,The elements be kind to thee and make Thy spirits all of comfort !
298,"Well done, Fare thee well.",Fare thee well .
299,My brother is my noble brother.,My noble brother !
300,"She sees the April in her eyes, it is love's spring, and these showers to bring it on.","The April's in her eyes ; it is love's spring , And these the showers to bring it on ."
301,"What are you talking about, Octavia.","What , Octavia ?"
302,I will let you know in your ear.,I'll tell you in your ear .
303,"Here I have you, look.","Look , here I have you ."
304,I allowed you to go and give you to the gods.,Thus I let you go And give you to the gods .
305,"Adieu, Adieu.",Adieu .
306,Be happy and have fun.,Be happy .
307,"It is time for farewell, farewell.","Farewell , farewell ."
308,The farewell is over.,Farewell .
309,The Nilus presageth famine was an o'erflowing one.,E'en as the o'erflowing Nilus presageth famine .
310,"Go, you bedfellow, you can't say anything.","Go , you wild bedfellow , you can not soothsay ."
311,I can't scratch my ear if an oily palm is not a fruitful prediction.,"Nay , if an oily palm be not a fruitful prognostication , I can not scratch mine ear. , Prithee , tell her but a workaday fortune ."
312,Your fortunes are not different.,Your fortunes are alike .
313,"But how, but not how.","But how , but how ?"
314,Give me the names of the people.,Give me particulars .
315,I have said that before.,I have said .
316,I don't know if I am an inch of fortune better than she is.,Am I not an inch of fortune better than she ?
317,"If you were an inch better off than me, where would you choose?","Well , if you were but an inch of fortune better than I , where would you choose it ?"
318,"Not in my husband's nose, not at all.",Not in my husband's nose .
319,Our thoughts are worse than the heavens.,Our worser thoughts heavens mend .
320,Is that a person?,Alexas !
321,"It is heartbreaking to see a handsome man lose his hair, so it is a very sad sight to see a foul knave.","For , as it is a heartbreaking to see a handsome man loose-wived , so it is a deadly sorrow to behold a foul knave uncuckolded ."
322,"Isis, keep decorum, and fortune you accordingly.","Therefore , dear Isis , keep decorum , and fortune him accordingly ."
323,The fellow is not located.,Where is the fellow ?
324,It was half a fear to come.,Half afeard to come .
325,"Go to, come hither, sir.","Go to , go to. , Come hither , sir ."
326,Herod of Jewry will not look upon you when you are well pleased.,"Good majesty , Herod of Jewry dare not look upon you But when you are well pleased ."
327,"I'll have Herod's head, that's what I'll have.",That Herod's head I'll have !
328,Most kind and gracious!,Most gracious majesty !
329,Is it possible that you saw Octavia?,Didst thou behold Octavia ?
330,The dread Queen is Ay.,"Ay , dread Queen ."
331,Where are you located?,Where ?
332,There is a woman in Rome.,"Madam , in Rome ."
333,I looked at her face and saw that she was following her brother and friend.,"I looked her in the face , and saw her led Between her brother and Mark Antony ."
334,Is she the same height as me.,Is she as tall as me ?
335,"madam, she is not.","She is not , madam ."
336,Did you hear her say something?,Didst hear her speak ?
337,Is she low or shrill?,Is she shrill-tongued or low ?
338,I heard her say something.,"Madam , I heard her speak ."
339,She has a low-pitched voice.,She is low-voiced .
340,That is not very good.,That's not so good .
341,He does not like her very much.,He can not like her long .
342,Is it possible to like her?,Like her ?
343,Is it possible that Isis is impossible?,"O Isis , 'tis impossible ."
344,"I believe so, Charmian.","I think so , Charmian ."
345,She seems to be creeps.,She creeps .
346,A statue than a breather is what she shows with her body.,"She shows a body rather than a life , A statue than a breather ."
347,Is this possible?,Is this certain ?
348,I don't have anything to observe.,Or I have no observance .
349,Three people in Egypt can not make a better note.,Three in Egypt Can not make better note .
350,There isn't anything in her yet.,There's nothing in her yet .
351,The fellow knows how to make good decisions.,The fellow has good judgment .
352,"Excellent, that's right.",Excellent .
353,"Charmian, I like you.","Charmian , hark ."
354,I think she is thirty years old.,And I do think she's thirty .
355,Bear'st she has her face in her mind.,Bear'st thou her face in mind ?
356,Is this round or long?,Is 't long or round ?
357,"Round, even to faultiness.","Round , even to faultiness ."
358,They are foolish for the majority of the time.,"For the most part , too , they are foolish that are so ."
359,What color of her hair is it?,"Her hair , what color ?"
360,Brown and her forehead as low as she would wish it.,"Brown , madam , and her forehead As low as she would wish it ."
361,My sharpness must not be taken advantage of.,Thou must not take my former sharpness ill .
362,"I will use thee again, I think thee are the most suitable for business.",I will employ thee back again ; I find thee Most fit for business .
363,"Our letters are prepared, so go make thee ready.",Go make thee ready ; Our letters are prepared .
364,A man who is well dressed.,A proper man .
365,"Indeed, he is so.","Indeed , he is so ."
366,I was worried about him because I was repenting so much.,I repent me much That so I harried him .
367,"I don't know, nothing, madam.","Nothing , madam ."
368,It is possible that all may be well enough.,All may be well enough .
369,"I want you, Madame.","I warrant you , madam ."
370,"O my good lord, if you must believe, stomach not all.","O my good lord , Believe not all , or , if you must believe , Stomach not all ."
371,ne'er stood between a more unhappy lady and Praying for both parts.,"A more unhappy lady , If this division chance , ne'er stood between , Praying for both parts ."
372,You should let your best love draw to that point which seeks to preserve it.,"Gentle Octavia , Let your best love draw to that point which seeks Best to preserve it ."
373,I'll raise the preparation of a war so that you won't stain your brother.,"The meantime , lady , I'll raise the preparation of a war Shall stain your brother ."
374,"The Jove of power make me weak, Your reconciler.","The Jove of power make me most weak , most weak , Your reconciler !"
375,"Turn your displeasure that way, for our faults can never be so equal that your love can equally move with them, when it appears to you.","When it appears to you where this begins , Turn your displeasure that way , for our faults Can never be so equal that your love Can equally move with them ."
376,"Provide your going, choose your own company, and command what costs you.",Provide your going ; Choose your own company and command what cost Your heart has mind to .
377,"How are you now, friend Eros?","How now , friend Eros !"
378,"Sir, there's strange news coming.","There's strange news come , sir ."
379,"What are you talking about, man?","What , man ?"
380,Both Caesar and Lepidus have fought against Pompey.,Caesar and Lepidus have made wars upon Pompey .
381,This is a long time ago.,This is old .
382,The success is what it is.,What is the success ?
383,The poor third is up until death enlarges his body.,"So the poor third is up , till death enlarge his confine ."
384,"Throw between them all the food that you have, and they'll grind the one that you don't have.","Then , world , thou hast a pair of chaps , no more , And throw between them all the food thou hast , They'll grind the one the other ."
385,Where are Antony?,Where's Antony ?
386,My lord desires you right now.,"More , Domitius : My lord desires you presently ."
387,My news might have been told.,My news I might have told hereafter .
388,"Don't let it be naught, but let it be.","Twill be naught , But let it be ."
389,I want to go to Antony.,Bring me to Antony .
390,"Sir, come, come.","Come , sir ."
391,He has done a lot of things in Alexandria.,"Contemning Rome , he has done all this and more In Alexandria ."
392,Cleopatra and himself in chairs of gold were publicly enthroned on a silver tribunaled marketplace.,"Here's the manner of 't : I' th' marketplace , on a tribunal silvered , Cleopatra and himself in chairs of gold Were publicly enthroned ."
393,"This is in the public eye, right?",This in the public eye ?
394,The goddess Isis appeared and gave an audience before.,"She In th' habiliments of the goddess Isis That day appeared , and oft before gave audience , As 'tis reported , so ."
395,Let Rome be aware of it.,Let Rome be thus informed .
396,Will their good thoughts call from him? who is queasy with his insolence already?,"Who , queasy with his insolence already , Will their good thoughts call from him ."
397,"The people are aware of it, and have received His accusations.","The people knows it , and have now received His accusations ."
398,Who is he accused of?,Who does he accuse ?
399,"Sextus Pompeius spoiled Caesar in Sicily, so we had not rated him.","Caesar , and that , having in Sicily Sextus Pompeius spoiled , we had not rated him His part o' th' isle ."
400,Then does he say he lent me some shipping?,"Then does he say he lent me Some shipping , unrestored ."
401,This needs to be answered by Sir.,"Sir , this should be answered ."
402,"The messenger is gone, and it's done already.","Tis done already , and the messenger gone ."
